ID	STRUCTURE	FREQUENCY	Arhuaco	Bari	Boruca	Bribri	Buglere	Cabecar	Cacaopera	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	LencaHonduras	LencaSalvador	Malayo	MalekuJaika	Mayangna	Miskito	Ngabere	Pech	Rama	SanBlasKuna	Teribe	Ulwa	COGNATESETS	CONCEPTS
122-6	V	6	e	a	e	ɪ	Ø	ɪ	Ø	i	-	Ø	i	Ø	Ø	Ø	i	i	Ø	Ø	Ø	Ø	Ø	e	ɪː	Ø	149:1, 256:4, 411:1, 618:2, 682:5, 1082:3	cry (v.) / fasten / five / laugh (v.) / old / snake
51-2	V	2	e	i	Ø	ɪ	Ø	-	i	Ø	i	Ø	ɯ	Ø	Ø	i	i	Ø	Ø	Ø	e	ĩ	a	Ø	Ø	a	798:0, 1215:6	black / this
60-2	V	2	e	Ø	-	Ø	Ø	Ø	Ø	e	-	aː	Ø	e	Ø	Ø	e	iː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	899:2, 970:2	man / talk (v.)
73-2	V	2	e	Ø	i	Ø	i	Ø	Ø	e	a	Ø	Ø	e	Ø	Ø	i	Ø	Ø	Ø	Ø	e	Ø	Ø	e	Ø	782:0, 841:1	fire / he
178-1	V	1	e	ĩː	i	i	i	i	Ø	i	i	i	i	i	Ø	Ø	-	iː	Ø	Ø	ɤ	Ø	iː	iː	i	Ø	748:1	water
207-1	V	1	e	Ø	i	Ø	e	Ø	Ø	Ø	Ø	i	i	-	Ø	Ø	i	Ø	Ø	Ø	Ø	-	Ø	i	Ø	Ø	1089:2	dance (v.)
222-1	V	1	e	ẽ	Ø	Ø	Ø	Ø	Ø	e	a	i	e	Ø	Ø	Ø	e	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1275:1	night
148-10	V	10	a	-	Ø	ã	-	ã	u	a	a	a	a	Ø	i	i	ɨ	a	a	a	a	õ	u	-	Ø	a	1188:1, 1360:1, 70:1, 140:2, 215:2, 296:1, 305:4, 846:3, 1015:1, 1320:1	ear / earth / guts / hear (v.) / large / laugh (v.) / leg / salt / sand / woman
147-7	V	7	a	i	a	ɪ	e	ɪ	Ø	a	u	e	a	Ø	e	e	a	iː	i	-	i	Ø	Ø	o	Ø	i	60:1, 209:3, 336:1, 675:1, 750:1, 751:2, 1189:4	cut (v.) / one / salt / say (v.) / stone / woman
155-7	V	7	a	aː	e	ʊ	o	a	a	Ø	o	a	Ø	-	-	-	a	a	i	i	u	a	i	Ø	o	a	7:1, 215:5, 273:2, 385:4, 899:0, 1070:3, 1375:1	cry (v.) / dog / father / green / salt / sun / talk (v.)
151-6	V	6	a	ũ	u	u	Ø	u	Ø	Ø	Ø	eː	Ø	u	u	i	i	uː	Ø	Ø	u	Ø	a	u	-	Ø	3:8, 541:1, 763:1, 807:1, 900:0, 1373:5	flower / hot, warm / talk (v.) / tooth / white
159-6	V	6	a	Ø	a	ɪ	a	ɪ	Ø	a	ɨ	a	e	Ø	Ø	Ø	-	Ø	Ø	Ø	e	Ø	Ø	Ø	u	Ø	3:6, 784:2, 852:1, 941:1, 1131:0, 1346:4	hand / he / hit (v.) / liver / smell (v.) / white
88-4	V	4	a	Ø	u	i	e	i	a	Ø	u	aː	ũ	Ø	o	o	a	Ø	Ø	Ø	a	u	Ø	u	a	Ø	40:1, 427:1, 434:1, 1149:1	fish (animal) / mountain / stomach / wind
109-4	V	4	a	aː	e	e	Ø	e	a	a	a	i	e	e	e	Ø	a	Ø	Ø	a	Ø	Ø	Ø	Ø	ɪ	Ø	328:0, 411:4, 970:4, 1318:1	hear (v.) / man / old / one
116-4	V	4	a	Ø	e	ĩ	a	ã	i	Ø	ɨ	a	a	Ø	a	Ø	a	o	Ø	Ø	ẽ	e	Ø	a	Ø	Ø	362:1, 547:1, 1040:1, 1084:2	come (v.) / far / mother / walk (v.)
16-3	V	3	a	Ø	a	a	a	a	Ø	a	i	aː	a	a	Ø	Ø	a	o	a	Ø	ɔ	ã	a	aː	i	a	302:1, 991:1, 1346:2	smell (v.) / smoke (substance) / three
39-3	V	3	a	i	i	ɪ	e	i	Ø	a	a	-	i	e	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	iː	e	Ø	Ø	226:2, 296:4, 541:2	blood / earth / hot, warm
80-3	V	3	a	a	-	ã	a	ã	Ø	a	ɨ	Ø	ã	Ø	Ø	Ø	a	a	Ø	Ø	ɔ	Ø	Ø	a	-	Ø	427:3, 479:1, 978:3	bone / hair / wind
