ID	STRUCTURE	FREQUENCY	jugankhanty	kazymkhanty	kondakhanty	kondamansi	likrisovskojekhanty	malyjjugankhanty	middlelozvamansi	nizjamkhanty	northmansi	obdorskkhanty	pelymkamansi	sherkalykhanty	synjakhanty	tavdamansi	tremjugankhanty	upperdemjankakhanty	vakhkhanty	vartovskojekhanty	vasjugankhanty	verkhnekalymskkhanty	COGNATESETS	CONCEPTS
209-1	V	1	Ø	Ø	Ø	oː	Ø	Ø	oː	Ø	ɔː	Ø	oː	Ø	Ø	ɔ	Ø	Ø	Ø	Ø	Ø	Ø	186:1	dry
210-1	V	1	Ø	Ø	Ø	ə	Ø	Ø	ə	Ø	ə	Ø	ə	Ø	Ø	ɔ	Ø	Ø	Ø	Ø	Ø	Ø	186:3	dry
219-1	V	1	Ø	u	yː	o	uː	uː	u	u	u	uː	u	u	u	o	uː	yː	uː	Ø	uː	uː	200:1	feather
223-1	V	1	Ø	Ø	Ø	ə	Ø	Ø	ə	Ø	a	Ø	ə	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	208:1	foot
227-1	V	1	Ø	Ø	Ø	oɔ	Ø	Ø	oɔ	Ø	aː	Ø	ɔː	Ø	Ø	æ	Ø	Ø	Ø	Ø	Ø	Ø	213:1	green
234-1	V	1	Ø	Ø	Ø	æ	Ø	Ø	ə	Ø	u	Ø	ə	Ø	Ø	ə	Ø	Ø	Ø	Ø	Ø	Ø	218:1	head
249-1	V	1	Ø	Ø	Ø	a	Ø	Ø	a	Ø	Ø	Ø	a	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	228:1	know
251-1	V	1	Ø	Ø	Ø	i	Ø	Ø	i	Ø	Ø	Ø	i	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	228:4	know
257-1	V	1	Ø	Ø	Ø	ɔi	Ø	Ø	ɔ	Ø	ɔ	Ø	ɔ	Ø	Ø	u	Ø	Ø	Ø	Ø	Ø	Ø	235:1	long
259-1	V	1	Ø	Ø	Ø	ə	Ø	Ø	æ	Ø	æ	Ø	æ	Ø	Ø	o	Ø	Ø	Ø	Ø	Ø	Ø	235:3	long
