ID	STRUCTURE	FREQUENCY	abui	adang	blagar	kaera	kamang	klon	kui	nedebang	protoalorpantar	sawila	teiwa	wersing	westernpantar	COGNATESETS	CONCEPTS
146-3	V	3	-	Ø	e	Ø	e	e	e	Ø	e	e	-	e	o	775:3, 944:3, 1984:2	bat / rope / yesterday
44-2	V	2	-	a	a	a	a	ə	-	-	-	a	-	a	Ø	35:0, 929:0	fire / root
112-2	V	2	-	i	a	e	a	ɑ	Ø	a	a	e	i	i	i	472:2, 1503:3	lie down / to drop
122-2	V	2	-	i	-	i	i	-	i	Ø	-	Ø	i	-	i	562:4, 1527:5	banana / to flow
128-2	V	2	-	ɛ	-	i	Ø	e	o	i	i	Ø	i	o	Ø	608:1, 1271:3	monitor lizard / sweet
137-2	V	2	-	a	-	-	a	ɑ	-	a	i	e	a	-	i	717:3, 2235:2	dirty / new (house)
264-2	V	2	-	i	a	-	-	i	-	a	i	e	a	i	-	1512:2, 1683:4	to eat / to smell
153-1	V	1	-	-	-	-	e	e	i	i	i	-	i	i	i	820:2	pig
172-1	V	1	-	-	-	i	Ø	ɪ	i	a	i	-	i	i	-	976:2	betel nut/areca
182-1	V	1	-	-	a	a	i	-	-	t	i	a	e	-	-	1034:2	betel vine
214-1	V	1	-	a	ə	ə	-	Ø	Ø	Ø	-	Ø	Ø	a	Ø	1229:0	stomach
247-1	V	1	-	i	a	o	i	-	i	Ø	i	e	i	i	Ø	1399:3	to bathe
257-1	V	1	-	-	-	e	e	-	-	-	i	i	i	i	i	1434:2	blood
287-1	V	1	-	a	a	-	e	Ø	-	a	e	a	-	-	a	1625:3	to plant 2
295-1	V	1	-	Ø	u	u	-	ə	u	-	u	Ø	u	Ø	Ø	1698:1	to spit
311-1	V	1	-	-	-	i	Ø	-	i	i	i	Ø	i	Ø	Ø	1818:2	tree
312-1	V	1	-	Ø	Ø	-	e	Ø	Ø	Ø	Ø	Ø	u	Ø	a	1822:3	turtle
345-1	V	1	-	Ø	i	o	Ø	Ø	Ø	a	a	a	-	Ø	Ø	2076:6	chase away/expel
352-1	V	1	-	u	o	o	Ø	u	Ø	Ø	a	u	a	Ø	Ø	2123:2	civet cat
